word,count
the,3108
project,87
gutenberg,36
ebook,11
prince,221
nicolo,15
machiavelli,54
is,437
anywhere,2
may,110
copy,12
away,24
or,277
terms,25
included,5
author,2
translator,1
w,2
k,2
february,2
october,1
english,5
produced,3
john,3
bickers,2
david,4
others,96
born,28
on,204
held,27
official,7
post,1
which,348
diplomatic,1
various,7
in,993
later,5
exiled,6
casciano,2
june,4
was,380
he,920
second,22
son,25
bernardo,1
di,26
a,779
some,72
stefano,7
wife,4
both,55
parents,1
members,5
florentine,19
nobility,3
life,29
falls,3
into,79
each,22
singularly,1
era,1
concurrent,1
greatness,17
guidance,1
medici,20
downfall,1
entered,10
during,16
career,6
free,15
government,22
republic,13
until,16
when,187
lost,26
office,9
once,35
driven,16
out,84
period,4
machiavelli's,12
influence,4
within,15
few,34
fifty-eighth,1
having,109
regained,3
--,33
aet,3
there,124
recorded,1
those,194
that,745
early,3
representative,1
be,470
imagined,2
has,163
been,162
city,39
two,53
opposite,11
one,295
directed,3
fervent,1
austere,1
savonarola,2
savonarola's,1
upon,58
young,6
must,40
time,94
over,23
fortunes,6
only,95
furnished,1
subject,20
example,18
who,366
came,37
bad,16
whereas,7
magnificence,7
rule,16
impressed,1
strongly,2
frequently,2
recurs,1
writings,4
lorenzo's,1
grandson,1
dedicates,1
men,161
writes,5
forefathers,2
dress,2
living,4
kinds,5
excesses,1
consuming,1
money,12
gaming,1
aim,5
appear,18
dressed,1
wit,3
acuteness,2
whilst,42
thought,13
guido,3
shows,3
why,7
itself,8
its,62
opportunities,5
study,13
had,293
i,218
received,19
your,54
given,31
greatest,14
pleasure,3
tell,5
quite,10
restored,8
health,4
better,23
news,6
if,189
grant,1
make,74
do,101
since,8
honour,11
skill,5
therefore,92
my,35
wish,40
please,8
bring,20
above,47
after,51
four,14
years,24
offices,1
appointed,7
chancellor,1
secretary,4
ten,11
peace,16
we,30
firm,5
dealing,2
events,5
leading,5
records,1
dispatches,1
guide,2
mere,2
recapitulation,1
transactions,2
indication,1
activities,1
drew,7
experiences,1
mission,5
sforza,18
lady,2
whose,9
earn,2
confidence,3
people,115
fortresses,16
very,50
noticeable,1
principle,2
urged,5
him,417
many,101
importance,4
princes,59
france,44
obtain,8
louis,18
committed,6
statecraft,3
consequently,1
also,59
made,62
marriage,4
pope,46
alexander,44
kept,28
largely,1
cesare,17
borgia,12
duke,88
valentino,10
fill,1
keep,50
can,110
indeed,3
precepts,2
offer,7
pattern,1
borgia's,1
acclaimed,1
hero,1
point,8
them,332
takes,6
every,59
save,5
prepared,9
all,189
carry,7
through,39
not,498
death,33
watch,3
college,3
fall,8
rovere,2
julius,16
ii,8
reason,31
fear,57
commenting,1
favours,4
great,89
injuries,7
pontiff,5
commencing,2
enterprise,10
successful,10
adventures,1
owing,15
chiefly,5
impetuous,3
character,15
reference,1
